Species	GO_term	GO_description	Count
Endogone_FLAS59071	GO:0030867	rough endoplasmic reticulum membrane	1
Endogone_FLAS59071	GO:0016888	endodeoxyribonuclease activity producing 5'-phosphomonoesters	1
Endogone_FLAS59071	GO:0019028	viral capsid	3
Endogone_FLAS59071	GO:0005198	structural molecule activity	1
Endogone_FLAS59071	GO:0019031	viral envelope	1
Endogone_FLAS59071	GO:0016788	hydrolase activity acting on ester bonds	4
Endogone_FLAS59071	GO:0043022	ribosome binding	1
Endogone_FLAS59071	GO:0009405	pathogenesis	1
Endogone_FLAS59071	GO:0004129	cytochrome-c oxidase activity	1
Endogone_FLAS59071	GO:0005740	mitochondrial envelope	1
Endogone_FLAS59071	GO:0019901	protein kinase binding	1
Endogone_FLAS59071	GO:0004810	tRNA adenylyltransferase activity	2
Endogone_FLAS59071	GO:0046933	proton-transporting ATP synthase activity rotational mechanism	1
Endogone_FLAS59071	GO:0015986	ATP synthesis coupled proton transport	1
Endogone_FLAS59071	GO:0009058	biosynthetic process	1
Endogone_FLAS59071	GO:0003743	translation initiation factor activity	5
Endogone_FLAS59071	GO:0006413	translational initiation	6
Endogone_FLAS59071	GO:0050840	extracellular matrix binding	1
Endogone_FLAS59071	GO:0005576	extracellular region	2
Endogone_FLAS59071	GO:0045454	cell redox homeostasis	3
Endogone_FLAS59071	GO:0019843	rRNA binding	11
Endogone_FLAS59071	GO:0015031	protein transport	3
Endogone_FLAS59071	GO:0004826	phenylalanine-tRNA ligase activity	3
Endogone_FLAS59071	GO:0016787	hydrolase activity	14
Endogone_FLAS59071	GO:0000921	septin ring assembly	2
Endogone_FLAS59071	GO:0005940	septin ring	2
Endogone_FLAS59071	GO:0003684	damaged DNA binding	3
Endogone_FLAS59071	GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity	3
Endogone_FLAS59071	GO:0016799	hydrolase activity hydrolyzing N-glycosyl compounds	3
Endogone_FLAS59071	GO:0006289	nucleotide-excision repair	2
Endogone_FLAS59071	GO:0019867	outer membrane	6
Endogone_FLAS59071	GO:0005319	lipid transporter activity	1
Endogone_FLAS59071	GO:0006869	lipid transport	2
Endogone_FLAS59071	GO:0006415	translational termination	3
Endogone_FLAS59071	GO:0042254	ribosome biogenesis	3
Endogone_FLAS59071	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	9
Endogone_FLAS59071	GO:0006351	transcription DNA-templated	9
Endogone_FLAS59071	GO:0004176	ATP-dependent peptidase activity	8
Endogone_FLAS59071	GO:0004252	serine-type endopeptidase activity	8
Endogone_FLAS59071	GO:0016747	transferase activity transferring acyl groups other than amino-acyl groups	1
Endogone_FLAS59071	GO:0008408	3'-5' exonuclease activity	6
Endogone_FLAS59071	GO:0005506	iron ion binding	2
Endogone_FLAS59071	GO:0051536	iron-sulfur cluster binding	2
Endogone_FLAS59071	GO:0016226	iron-sulfur cluster assembly	2
Endogone_FLAS59071	GO:0003924	GTPase activity	12
Endogone_FLAS59071	GO:0009271	phage shock	1
Endogone_FLAS59071	GO:0008289	lipid binding	1
Endogone_FLAS59071	GO:0042157	lipoprotein metabolic process	1
Endogone_FLAS59071	GO:0016491	oxidoreductase activity	3
Endogone_FLAS59071	GO:0003697	single-stranded DNA binding	8
Endogone_FLAS59071	GO:0003911	DNA ligase (NAD+) activity	3
Endogone_FLAS59071	GO:0009403	toxin biosynthetic process	1
Endogone_FLAS59071	GO:0030269	tetrahydromethanopterin S-methyltransferase activity	1
Endogone_FLAS59071	GO:0015948	methanogenesis	1
Endogone_FLAS59071	GO:0016032	viral process	1
Endogone_FLAS59071	GO:0032784	regulation of DNA-templated transcription elongation	3
Endogone_FLAS59071	GO:0006284	base-excision repair	4
Endogone_FLAS59071	GO:0006352	DNA-templated transcription initiation	3
Endogone_FLAS59071	GO:0004222	metalloendopeptidase activity	9
Endogone_FLAS59071	GO:0004045	aminoacyl-tRNA hydrolase activity	3
Endogone_FLAS59071	GO:0016874	ligase activity	3
Endogone_FLAS59071	GO:0000049	tRNA binding	8
Endogone_FLAS59071	GO:0004526	ribonuclease P activity	3
Endogone_FLAS59071	GO:0008033	tRNA processing	3
Endogone_FLAS59071	GO:0006886	intracellular protein transport	2
Endogone_FLAS59071	GO:0017038	protein import	3
Endogone_FLAS59071	GO:0000774	adenyl-nucleotide exchange factor activity	3
Endogone_FLAS59071	GO:0051087	chaperone binding	3
Endogone_FLAS59071	GO:0003678	DNA helicase activity	3
Endogone_FLAS59071	GO:0000723	telomere maintenance	3
Endogone_FLAS59071	GO:0005856	cytoskeleton	1
Endogone_FLAS59071	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	3
Endogone_FLAS59071	GO:0002949	tRNA threonylcarbamoyladenosine modification	3
Endogone_FLAS59071	GO:0016151	nickel cation binding	1
Endogone_FLAS59071	GO:0051604	protein maturation	1
Endogone_FLAS59071	GO:0046983	protein dimerization activity	1
Endogone_FLAS59071	GO:0003918	DNA topoisomerase type II (double strand cut ATP-hydrolyzing) activity	3
Endogone_FLAS59071	GO:0015934	large ribosomal subunit	3
Endogone_FLAS59071	GO:0003905	alkylbase DNA N-glycosylase activity	3
Endogone_FLAS59071	GO:0004525	ribonuclease III activity	3
Endogone_FLAS59071	GO:0000287	magnesium ion binding	3
Endogone_FLAS59071	GO:0004427	inorganic diphosphatase activity	3
Endogone_FLAS59071	GO:0006796	phosphate-containing compound metabolic process	3
Endogone_FLAS59071	GO:0005737	cytoplasm	4
Endogone_FLAS59071	GO:0006275	regulation of DNA replication	1
Endogone_FLAS59071	GO:0042025	host cell nucleus	1
Endogone_FLAS59071	GO:0006364	rRNA processing	5
Endogone_FLAS59071	GO:0043065	positive regulation of apoptotic process	1
Endogone_FLAS59071	GO:0005886	plasma membrane	1
Endogone_FLAS59071	GO:0008324	cation transmembrane transporter activity	1
Endogone_FLAS59071	GO:0006812	cation transport	1
Endogone_FLAS59071	GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity	1
Endogone_FLAS59071	GO:0032775	DNA methylation on adenine	1
Endogone_FLAS59071	GO:0002161	aminoacyl-tRNA editing activity	1
Endogone_FLAS59071	GO:0015078	proton transmembrane transporter activity	1
Endogone_FLAS59071	GO:1902600	proton transmembrane transport	1
Endogone_FLAS59071	GO:0033179	proton-transporting V-type ATPase V0 domain	1
Endogone_FLAS59071	GO:0005743	mitochondrial inner membrane	1
Endogone_FLAS59071	GO:0070469	respirasome	1
Endogone_FLAS59071	GO:0032007	negative regulation of TOR signaling	1
Endogone_FLAS59071	GO:0034198	cellular response to amino acid starvation	1
Endogone_FLAS59071	GO:0006606	protein import into nucleus	1
Endogone_FLAS59071	GO:0016301	kinase activity	1
Endogone_FLAS59071	GO:0003746	translation elongation factor activity	1
Endogone_FLAS59071	GO:0006414	translational elongation	1
Endogone_FLAS59071	GO:0004832	valine-tRNA ligase activity	1
Endogone_FLAS59071	GO:0006438	valyl-tRNA aminoacylation	1
Endogone_FLAS59071	GO:0006486	protein glycosylation	1
Endogone_FLAS59071	GO:0008948	oxaloacetate decarboxylase activity	1
Endogone_FLAS59071	GO:0015081	sodium ion transmembrane transporter activity	1
Endogone_FLAS59071	GO:0036376	sodium ion export across plasma membrane	1
Endogone_FLAS59071	GO:0007094	mitotic spindle assembly checkpoint	1
Endogone_FLAS59071	GO:0004553	hydrolase activity hydrolyzing O-glycosyl compounds	1
Endogone_FLAS59071	GO:0004146	dihydrofolate reductase activity	1
Endogone_FLAS59071	GO:0046654	tetrahydrofolate biosynthetic process	1
Endogone_FLAS59071	GO:0008107	galactoside 2-alpha-L-fucosyltransferase activity	1
Endogone_FLAS59071	GO:0005975	carbohydrate metabolic process	1
Endogone_FLAS59071	GO:0032051	clathrin light chain binding	1
Endogone_FLAS59071	GO:0007212	dopamine receptor signaling pathway	1
Endogone_FLAS59071	GO:0048268	clathrin coat assembly	1
GBAus27b-MRE-ap	GO:0003677	DNA binding	77
GBAus27b-MRE-ap	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	6
GBAus27b-MRE-ap	GO:0006351	transcription DNA-templated	6
GBAus27b-MRE-ap	GO:0004519	endonuclease activity	10
GBAus27b-MRE-ap	GO:0004129	cytochrome-c oxidase activity	1
GBAus27b-MRE-ap	GO:0020037	heme binding	1
GBAus27b-MRE-ap	GO:0009060	aerobic respiration	1
GBAus27b-MRE-ap	GO:0055114	oxidation-reduction process	3
GBAus27b-MRE-ap	GO:0016021	integral component of membrane	8
GBAus27b-MRE-ap	GO:0004672	protein kinase activity	14
GBAus27b-MRE-ap	GO:0006468	protein phosphorylation	14
GBAus27b-MRE-ap	GO:0005634	nucleus	3
GBAus27b-MRE-ap	GO:0009405	pathogenesis	3
GBAus27b-MRE-ap	GO:0005576	extracellular region	2
GBAus27b-MRE-ap	GO:0006310	DNA recombination	17
GBAus27b-MRE-ap	GO:0015074	DNA integration	15
GBAus27b-MRE-ap	GO:0000166	nucleotide binding	36
GBAus27b-MRE-ap	GO:0003887	DNA-directed DNA polymerase activity	8
GBAus27b-MRE-ap	GO:0006260	DNA replication	10
GBAus27b-MRE-ap	GO:0005515	protein binding	2
GBAus27b-MRE-ap	GO:0003678	DNA helicase activity	2
GBAus27b-MRE-ap	GO:0000723	telomere maintenance	2
GBAus27b-MRE-ap	GO:0006281	DNA repair	4
GBAus27b-MRE-ap	GO:0005525	GTP binding	9
GBAus27b-MRE-ap	GO:0005524	ATP binding	70
GBAus27b-MRE-ap	GO:0004812	aminoacyl-tRNA ligase activity	30
GBAus27b-MRE-ap	GO:0006418	tRNA aminoacylation for protein translation	28
GBAus27b-MRE-ap	GO:0006396	RNA processing	5
GBAus27b-MRE-ap	GO:0003905	alkylbase DNA N-glycosylase activity	3
GBAus27b-MRE-ap	GO:0006284	base-excision repair	4
GBAus27b-MRE-ap	GO:0016787	hydrolase activity	4
GBAus27b-MRE-ap	GO:0003735	structural constituent of ribosome	46
GBAus27b-MRE-ap	GO:0006412	translation	44
GBAus27b-MRE-ap	GO:0005840	ribosome	43
GBAus27b-MRE-ap	GO:0016887	ATPase activity	8
GBAus27b-MRE-ap	GO:0006304	DNA modification	4
GBAus27b-MRE-ap	GO:0015078	proton transmembrane transporter activity	1
GBAus27b-MRE-ap	GO:0015986	ATP synthesis coupled proton transport	1
GBAus27b-MRE-ap	GO:0000276	mitochondrial proton-transporting ATP synthase complex coupling factor F(o)	1
GBAus27b-MRE-ap	GO:0004176	ATP-dependent peptidase activity	6
GBAus27b-MRE-ap	GO:0004252	serine-type endopeptidase activity	6
GBAus27b-MRE-ap	GO:0006508	proteolysis	12
GBAus27b-MRE-ap	GO:0006606	protein import into nucleus	1
GBAus27b-MRE-ap	GO:0015031	protein transport	2
GBAus27b-MRE-ap	GO:0030176	integral component of endoplasmic reticulum membrane	1
GBAus27b-MRE-ap	GO:0022857	transmembrane transporter activity	8
GBAus27b-MRE-ap	GO:0016020	membrane	12
GBAus27b-MRE-ap	GO:0004810	tRNA adenylyltransferase activity	3
GBAus27b-MRE-ap	GO:0003723	RNA binding	17
GBAus27b-MRE-ap	GO:0009982	pseudouridine synthase activity	5
GBAus27b-MRE-ap	GO:0001522	pseudouridine synthesis	5
GBAus27b-MRE-ap	GO:0009451	RNA modification	5
GBAus27b-MRE-ap	GO:0000287	magnesium ion binding	3
GBAus27b-MRE-ap	GO:0004427	inorganic diphosphatase activity	2
GBAus27b-MRE-ap	GO:0006796	phosphate-containing compound metabolic process	2
GBAus27b-MRE-ap	GO:0005737	cytoplasm	2
GBAus27b-MRE-ap	GO:0003676	nucleic acid binding	7
GBAus27b-MRE-ap	GO:0019843	rRNA binding	4
GBAus27b-MRE-ap	GO:0006355	regulation of transcription DNA-templated	10
GBAus27b-MRE-ap	GO:0042254	ribosome biogenesis	2
GBAus27b-MRE-ap	GO:0008170	N-methyltransferase activity	4
GBAus27b-MRE-ap	GO:0006306	DNA methylation	4
GBAus27b-MRE-ap	GO:0006952	defense response	1
GBAus27b-MRE-ap	GO:0045926	negative regulation of growth	1
GBAus27b-MRE-ap	GO:0008233	peptidase activity	2
GBAus27b-MRE-ap	GO:0006465	signal peptide processing	2
GBAus27b-MRE-ap	GO:0005787	signal peptidase complex	2
GBAus27b-MRE-ap	GO:0003916	DNA topoisomerase activity	2
GBAus27b-MRE-ap	GO:0006265	DNA topological change	3
GBAus27b-MRE-ap	GO:0017038	protein import	2
GBAus27b-MRE-ap	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	2
GBAus27b-MRE-ap	GO:0008234	cysteine-type peptidase activity	3
GBAus27b-MRE-ap	GO:0003824	catalytic activity	3
GBAus27b-MRE-ap	GO:0045892	negative regulation of transcription DNA-templated	2
GBAus27b-MRE-ap	GO:0023041	neuronal signal transduction	1
GBAus27b-MRE-ap	GO:0030867	rough endoplasmic reticulum membrane	1
GBAus27b-MRE-ap	GO:0003924	GTPase activity	4
GBAus27b-MRE-ap	GO:0000049	tRNA binding	2
GBAus27b-MRE-ap	GO:0043039	tRNA aminoacylation	2
GBAus27b-MRE-ap	GO:0046961	proton-transporting ATPase activity rotational mechanism	1
GBAus27b-MRE-ap	GO:1902600	proton transmembrane transport	1
GBAus27b-MRE-ap	GO:0000221	vacuolar proton-transporting V-type ATPase V1 domain	1
GBAus27b-MRE-ap	GO:0008168	methyltransferase activity	5
GBAus27b-MRE-ap	GO:0008173	RNA methyltransferase activity	1
GBAus27b-MRE-ap	GO:0004045	aminoacyl-tRNA hydrolase activity	1
GBAus27b-MRE-ap	GO:0055085	transmembrane transport	1
GBAus27b-MRE-ap	GO:0004177	aminopeptidase activity	1
GBAus27b-MRE-ap	GO:0003684	damaged DNA binding	2
GBAus27b-MRE-ap	GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity	1
GBAus27b-MRE-ap	GO:0008270	zinc ion binding	1
GBAus27b-MRE-ap	GO:0016799	hydrolase activity hydrolyzing N-glycosyl compounds	1
GBAus27b-MRE-ap	GO:0008408	3'-5' exonuclease activity	2
GBAus27b-MRE-ap	GO:0004222	metalloendopeptidase activity	2
GBAus27b-MRE-ap	GO:0043565	sequence-specific DNA binding	2
GBAus27b-MRE-ap	GO:0016491	oxidoreductase activity	1
GBAus27b-MRE-ap	GO:0003743	translation initiation factor activity	2
